name,Description,Test Type,Remote Testing,Adaptive/IRT,Job Levels,Languages,Assessment Length,url
Account Manager Solution,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks include communicating with clients, managing project plans, coordinating internally, and meeting client expectations. Job titles include Account Executive, Account Manager, and Senior Account Manager.","Competencies, Ability & Aptitude, Personality & Behavior, Biodata & Situational Judgement",yes,yes,Mid-Professional,English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/
Administrative Professional - Short Form,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions, office management, and customer service. Tasks include arranging calls, drafting correspondence, scheduling, greeting visitors, and coordinating office activities. Job titles include Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior",yes,yes,Entry-Level,English (USA),36,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/
Agency Manager Solution,"The Agency Manager solution is for mid-level sales management positions involving front line management and sales responsibilities. Tasks include directing and coordinating financial activities of workers in branches or departments such as banks, brokerage firms, or insurance departments. Job titles include Agency Manager and Brokerage Manager.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),51,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/
Apprentice + 8.0 Job Focused Assessment,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment including a short cognitive ability test. Designed for entry-level positions in countries and industries using the apprenticeship model. Suitable for multi-national organisations.","Biodata & Situational Judgement, Personality & Behavior",yes,no,"General Population, Graduate, Entry-Level","English International, German",30,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
Apprentice 8.0 Job Focused Assessment,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment designed for entry-level positions in countries and industries using the apprenticeship model. Suitable for multi-national organizations.","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",yes,no,"Entry-Level, General Population, Graduate","English International, German, French",20,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
Bank Administrative Assistant - Short Form,"The Administrative Assistant solution is for entry-level clerical positions involving customer interaction and administrative duties. Tasks include answering phones, managing records, sorting mail, greeting customers, and collaborating on projects. Titles include Receptionist and Administrative Assistant.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Entry-Level,English (USA),35,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/
Bank Collections Agent - Short Form,"This assessment is for entry-level collections roles in financial call centers (inbound/outbound). It evaluates achievement orientation, dependability, numerical skills, revenue recovery, customer focus, persistence, and planfulness. Multiple configurations are available.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,no,Entry-Level,English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/
Bank Operations Supervisor - Short Form,"This assessment targets entry-level leadership roles supervising hourly employees. It covers scheduling, task delegation, coaching, skill development, training, prioritization, and independent decision-making. Job titles include Team Leader, First Line Supervisor, Call Center Supervisor, etc. Multiple configurations are available.","Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude",yes,no,"Front Line Manager, Manager, Supervisor",English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/
Bilingual Spanish Reservation Agent Solution,"Designed for entry-level, customer-centric roles in hospitality. Tasks include making, updating, or canceling reservations in English or Spanish, understanding Spanish conversations, and entering data in English. Suitable for roles like Bilingual Reservation Agent and Customer Service Rep. Multiple configurations available.","Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",yes,yes,Entry-Level,"English (USA), Latin American Spanish",43,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
"Bookkeeping, Accounting, Auditing Clerk Short Form","Designed for entry-level roles involving financial data entry and record maintenance. Tasks include entering financial data, checking records for accuracy, and performing routine financial calculations. Suitable for roles such as Accounting Clerk, Bookkeeper, Auditing Clerk, and Accounts Receivable Clerk.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/
Branch Manager - Short Form,"Designed for mid to upper-level financial managerial roles. Assesses management judgment, leadership potential, team and self leadership, problem-solving, motivation, and interpersonal effectiveness. Suitable for positions like Branch Manager, Team Leader, and Department Head.","Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior",yes,no,"Front Line Manager, Manager, Supervisor",English (USA),50,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/
Cashier Solution,"Designed for entry-level retail roles such as Cashier, Sales Associate, and Clerk. Assesses payment handling, customer service, issuing receipts and refunds.","Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",no,no,Entry-Level,English (USA),28,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/
Claims/Operations Supervisor Solution,"The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees. Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor. Multiple configurations of this solution are available.","Personality & Behavior, Simulations, Ability & Aptitude, Biodata & Situational Judgement",yes,yes,Manager,English (USA),48,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/
Contact Center Customer Service + 8.0,"The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Ability & Aptitude, Biodata & Situational Judgement, Competencies, Personality & Behavior, Simulations",yes,no,Entry-Level,"English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese",41,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/
Contact Center Customer Service 8.0,The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",yes,no,Entry-Level,"English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French",31,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/
Contact Center Manager - Short Form,"The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are: Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,"Manager, Supervisor, Front Line Manager",English (USA),50,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/
Contact Center Sales & Service + 8.0,"The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Personality & Behavior, Biodata & Situational Judgement, Competencies, Ability & Aptitude, Simulations",yes,no,Entry-Level,"English International, English (USA)",41,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/
Contact Center Sales & Service 8.0,The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Simulations, Biodata & Situational Judgement, Competencies, Personality & Behavior",yes,no,Entry-Level,"English International, English (USA)",31,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/
Contact Center Team Lead/Coach - Short Form,"The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,"Front Line Manager, Professional Individual Contributor, Supervisor",English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/
Contact Centre Agent Solution - UK,"This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,no,Entry-Level,English International,39,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/
Customer Service - Short Form,"The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,"English (USA), English International",42,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/
Customer Service - Short Form - UK,"The Customer Service Representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English International,42,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/
Customer Service with Sales - Short Form,"The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),44,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/
Director - Short Form,"The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Director,English (USA),69,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/
District/Regional Manager Solution,"The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area. Sample tasks for these jobs include, but are not limited to: directing a group of supervisors or managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals. Potential job titles that use this solution are: Regional Director, District Manager, General Manager, Regional Manager, Store Manager, and Area Manager. There are multiple configurations and versions of this solution available.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Manager,English (USA),65,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/
Entry Level Cashier 7.1 (Americas),"The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Biodata & Situational Judgement, Personality & Behavior, Ability & Aptitude",yes,no,Entry-Level,"French (Canada), Latin American Spanish, English (USA), English International",18,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/
Entry Level Cashier 7.1 (International),"The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Entry-Level,English (USA),18,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/
Entry Level Customer Service 7.1 (Americas),"The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.","Cognitive & Skills, Personality & Behavior",yes,no,Entry-Level,"German, Finnish, Portuguese (Brazil), English (USA), Norwegian, Dutch, Arabic, Swedish, French (Canada), Italian, Danish, English International, Chinese Simplified, Latin American Spanish, French",19,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/
Entry Level Customer Service 7.1 (International),"The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.","Cognitive & Skills, Personality & Behavior",yes,no,Entry-Level,"French, Dutch, English (USA), English International, Italian, German",19,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/
Entry Level Customer Service 7.1 (South Africa),The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.,"Cognitive & Skills, Personality & Behavior",yes,no,Entry-Level,English International,19,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/
Entry level Sales 7.1 (Americas),"The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","Cognitive & Skills, Personality & Behavior",yes,no,Entry-Level,Portuguese (Brazil),20,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/
Entry level Sales 7.1 (International),"The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","Cognitive & Skills, Personality & Behavior",yes,no,Entry-Level,"English (USA), Spanish, Latin American Spanish, French, German, French (Canada), English International, Chinese Simplified, Portuguese",20,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/
Entry Level Sales Sift Out 7.1,"The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer","Cognitive & Skills, Personality & Behavior",yes,yes,Entry-Level,"Swedish, Chinese, Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish Italian Arabic Dutch",20,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Event Sales Manager Solution,"The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for special events and managing staff. The solution is focused on sales, solving problems and making good decisions. Potential job titles that use this solution are: Event Sales Manager, Events Manager and Special Events Manager. Multiple configurations of this solution are available.",Supervisory & Managerial,yes,yes,"Supervisor, Front Line Manager, Manager",English (USA),50,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/
Executive - Short Form,"The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities and operations at the highest level of an organization. Executives at this level often accomplish their work through subordinate executives and provide overall direction to their organization by determining and formulating policies within guidelines set up by a board of directors or similar governing body. Potential job titles that use this solution are: Executive Vice President, President, and Executive Director.",Executive,yes,no,Executive,English (USA),74,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/
Financial Professional - Short Form,"This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus.","Mid-Professional, Professional Individual Contributor",yes,no,Financial Professional - Short Form,English (USA),35,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/
Guest Service Team 7.0 Solution,"Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. Potential job titles that use this solution include: Server, Hostess, Guest Services Team Member, Customer Service Champion. Report Language Availability: English (USA), Latin American Spanish.",Biodata & Situational Judgement,yes,no,Entry-Level,"French (Canada), Latin American Spanish, English (USA), English International",18,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/
Graduate 8.0 Job Focused Assessment,"The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. It also provides actionable feedback to help you onboard new hires. It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL�s Graduate Solution.","Personality & Behavior, Biodata & Situational Judgement",yes,no,Graduate,"English (USA), English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Finnish, Norwegian, Danish, Chinese Traditional, Turkish, Romanian, Japanese, Latin American Spanish, Indonesian, Portuguese (Brazil), Arabic, Polish",20,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/
Graduate 7.1 Job Focused Assessment,The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,"Biodata & Situational Judgement, Competencies",yes,no,Graduate,"Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil)",19,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/
Graduate + 8.0 Job Focused Assessment,"The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you identify graduates with the highest potential to contribute and succeed, as well as providing actionable feedback to help you onboard new hires. It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL�s Graduate Solution.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Graduate,"Arabic, Latin American Spanish, Portuguese, Polish, Portuguese (Brazil), Romanian, Turkish, English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Norwegian, Danish, Chinese Traditional, Spanish, Japanese",30,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/
General Entry Level � Data Entry 7.0 Solution,"Our General Entry Level � Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner. This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant. Report Language Availability: English (USA)","Biodata & Situational Judgement, Knowledge",yes,no,"General Population, Entry-Level",English (USA),24,
General Entry Level - All Industries 7.1(Americas),"Our General Entry Level � All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.",Biodata & Situational Judgement,yes,no,Entry-Level,"Portuguese (Brazil), French (Canada), English (USA), Latin American Spanish",19,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/
General Entry Level - All Industries 7.1 Solution,"Our General Entry Level � All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector. �MCP Product: please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International.",Biodata & Situational Judgement,yes,no,Entry-Level,"German, Norwegian, Finnish, French (Canada), Portuguese (Brazil), Latin American Spanish, English (USA), English International, Danish, Swedish, French, Italian",19,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/
General Entry Level - All Industries 7.0 Solution,"Our General Entry Level � All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.",Biodata & Situational Judgement,yes,no,Entry-Level,"English (USA), English International, French (Canada), Latin American Spanish",19,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/
Gaming Manager Solution,"The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors and associates within gaming environments. The solution is focused on security, integrity and managing sales. Potential job titles that use this solution are: Gaming Floor Manager and Gaming Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor",yes,yes,"Simulations, Ability & Aptitude, Biodata & Situational Judgement, Knowledge, Personality & Behavior",English (USA),55,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/
