name,Description,Test Type,Remote Testing,Adaptive/IRT,Job Levels,Languages,Assessment Length,url
Sales Professional 7.1 (Americas),"Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","Biodata & Situational Judgement, Competencies",yes,no,"Professional Individual Contributor, Mid-Professional","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada)",21,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/
Sales Professional 7.0 Solution,"Our Sales Professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","Competencies, Biodata & Situational Judgement",yes,no,"Mid-Professional, Professional Individual Contributor","English International, English (USA), French (Canada), Latin American Spanish",21,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/
Sales Manager Solution,"The Sales Manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing sales plans, promoting products to customers, training subordinates, building ongoing customer relationships, and making day-to-day decisions with minimal guidance from others.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager",English (USA),63,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/
Sales Engineer Solution,"The Sales Engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. The solution is focused on positions that involve the design of telecommunications networks for specific customer applications, and places an emphasis on reasoning ability and sales ability. Sample tasks may include: designing network solutions to meet customer needs, communicating technical information to all levels of clients participating in the sales process, assisting or owning the sales process, and ensuring proper implementation of contracted equipment and services.","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",yes,yes,Professional Individual Contributor,English (USA),61,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/
Sales Director Solution,"The Sales Director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic territories. Sample tasks for these jobs include, but are not limited to: directing a group of sales supervisors or sales managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Director, Front Line Manager, Manager",English (USA),59,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/
Retail Sales Associate Solution,"The Retail Sales Associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),29,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/
Retail Manager w/ Sales Solution,The Retail Manager with Sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees but also have a significant portion of their job performance based on sales and customer service.,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),43,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/
Retail Consultant Solution,"The Retail Consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/
Restaurant Supervisor Solution,"The Restaurant Supervisor solution is designed for management level positions in the hospitality industry. Sample tasks include serving as a staff resource, setting schedules and monitoring daily operations.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),53,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/
Restaurant Manager Solution,"The Restaurant Manager solution is designed for management level positions in the hospitality industry. Sample tasks include purchasing food and supplies, accounting, setting policies and procedures, and managing staff.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),48,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/
Reservation Agent Solution,"The Reservation Agent solution is designed for entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling reservations; looking up information and entering information into a computer.","Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement",yes,yes,Entry-Level,English (USA),43,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/
Proof Operator - Processing Specialist -Short Form,"The Proof Operator � Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers.",Simulations,yes,no,Entry-Level,English (USA),30,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/
Store Manager 7.1 (Americas),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","Biodata & Situational Judgement, Competencies",yes,no,"Front Line Manager, Manager","English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada)",34,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/
Store Manager 7.0 Solution,"Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","Biodata & Situational Judgement, Competencies",yes,no,"Front Line Manager, Manager","English (USA), English International, French (Canada), Latin American Spanish",34,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/
Stock Clerk Solution,"The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked. Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments. Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Entry-Level,English (USA),25,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/
Service Supervisor Solution,"The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions. Sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),48,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/
Service Associate Solution,"The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),38,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/
Server Solution,"The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. The solution is focused on work ethic, customer focus and sales.","Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior",yes,yes,Entry-Level,English (USA),40,https://www.shl.com/solutions/products/product-catalog/view/server-solution/
Senior Sales Professional Solution,"The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with new or existing customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks include promoting products to customers, consulting with and persuading customers to buy products, and building ongoing customer relationships.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Professional Individual Contributor,English (USA),42,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/
Senior Insurance Agent Solution,"The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. Sample tasks for this position include delivering and explaining policies, calculating premiums, customizing insurance programs to suit individual customers, and conferring with clients to obtain and provide information when claims are made.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Professional Individual Contributor,English (USA),44,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/
Sales Support Specialist Solution,"The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. Sample tasks for these jobs include implementing customer orders, assisting with activities, and utilizing processes to meet customer requirements.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),43,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/
Sales Supervisor Solution,"The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. Sample tasks include planning and preparing work schedules, promoting products to customers, training subordinates, and making day-to-day decisions.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),38,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/
Sales Representative Solution,"The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),29,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/
Sales Professional Solution,"The Sales Professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Mid-Professional,English (USA),47,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/
Telenurse Solution,The Telenurse solution is for positions in a healthcare environment that interact with patients over the telephone. Sample tasks for this job include but are not limited to: accurately understanding patient's symptoms via the telephone systematically working through patient symptoms to arrive at the correct diagnosis and recalling facts from the call for documentation. Potential job titles that use this solution are: Telenurse Telephone Nurse or On Call Nurse. Multiple configurations of this solution are available.,Ability & Aptitude Biodata & Situational Judgement Personality & Behavior,yes,yes,Mid-Professional,English (USA),68,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/
Technology Professional 8.0 Job Focused Assessment,"The Technology Job Focused Assessment assesses key behavioral attributes required for success in fast-paced, rapidly evolving technology environments, providing an indication of the candidate�s longer-term potential. It is available as part of SHL�s Technology Hiring Solution.","Behavioral Attributes, Personality, Problem Solving",yes,no,Entry-Level Graduate Mid-Professional Professional Individual Contributor,German Spanish Latin American Spanish French Italian Indonesian Chinese Simplified French (Canada) English International English (USA),16,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/
Technician/Technologist Solution,"The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aid in the treatment of patients. Sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer. Potential job titles that use this solution are: Radiologic Technician, Medical Technologist/Technician, and Laboratory Technologist. Multiple configurations of this solution are available.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Mid-Professional,English (USA),52,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/
Technical Sales Associate Solution,"The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. Multiple configurations of this solution are available.","Ability & Aptitude, Product Knowledge, Sales Techniques",yes,no,Entry-Level,English (USA),41,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/
Support Supervisor Solution,"The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer-facing support positions (e.g., Janitors, Laundry Workers, Grounds Crew). Sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Head Custodian, Maintenance Supervisor, Buildings and Grounds Supervisor, Facilities Manager, Housekeeping Supervisor, Building and Grounds Director, and Housekeeping Director. Multiple configurations of this solution are available.","Leadership, Staff Management, Performance Monitoring",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),39,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/
Support Associate Solution,"The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety of support positions in the hospitality industry, and sample tasks may include: food preparation, dishwashing, and/or cleaning. Potential job titles that use this solution are: Janitor, Food Prep, Laundry Associate, and Dishwasher. Multiple configurations of this solution are available.","Ability & Aptitude, Task Management, Work Efficiency",yes,yes,Entry-Level,English (USA),38,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/
Supervisor 7.1 (International),"Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include: planning and preparing work schedules, assigning employees to specific duties, coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills, training subordinates, prioritizing multiple tasks and priorities, and making day-to-day decisions with minimal guidance from others.","Leadership, Staff Management, Task Prioritization",yes,no,"Supervisor, Front Line Manager","Italian, Norwegian, Spanish, English (USA), French, German, Dutch, Swedish, Portuguese, English International",29,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/
Supervisor 7.1 (Americas),"Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include: planning and preparing work schedules, assigning employees to specific duties, coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills, training subordinates, prioritizing multiple tasks and priorities, and making day-to-day decisions with minimal guidance from others.","Leadership, Staff Management, Task Prioritization",yes,no,"Front Line Manager, Supervisor","Portuguese (Brazil), French (Canada), English (USA)",29,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/
Supervisor 7.0 Solution,"Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include: planning and preparing work schedules, assigning employees to specific duties, coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills, training subordinates, prioritizing multiple tasks and priorities, and making day-to-day decisions with minimal guidance from others.","Leadership, Staff Management, Task Prioritization",yes,no,Supervisor,"English International, English (USA), French (Canada), Latin American Spanish",32,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/
Supervisor - Short Form,"The Supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include: planning and preparing work schedules, assigning employees to specific duties, coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills, training subordinates, prioritizing multiple tasks and priorities, and making day-to-day decisions with minimal guidance from others.","Leadership, Staff Management, Task Prioritization",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),57,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/
Store Manager Solution,"The Store Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include: planning and preparing work schedules, assigning employees to specific duties, coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills, training subordinates, prioritizing multiple tasks and priorities, and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Store Manager, First Line Supervisor, Retail Manager, Restaurant Manager, and Customer Service Supervisor. Multiple configuration options of this solution are available.","Leadership, Staff Management, Task Prioritization",yes,yes,"Manager, Supervisor",English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/
Store Manager 7.1 (International),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include: planning and preparing work schedules, assigning employees to specific duties, coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills, training subordinates, prioritizing multiple tasks and priorities, and making day-to-day decisions with minimal guidance from others.","Leadership, Staff Management, Task Prioritization",yes,no,"Front Line Manager, Manager","Latin American Spanish, English International",34,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/
Workplace Safety Solution,"The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in the workplace. This solution measures one�s general tendency to behave safely in the workplace using a variety of assessment types including personality traits, safety-related situational judgment, and biodata. Potential job titles that use this solution are: Material Handler, Shipping Operator, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,"English (USA), English (Australia)",21,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/
Workplace Safety - Team 7.1 (International),"The Workplace Safety � Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team-based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Biodata & Situational Judgement, Competencies, Personality & Behavior",yes,no,"Entry-Level, General Population, Professional Individual Contributor","English International, Finnish, French, Dutch, Latin American Spanish, Swedish, Portuguese (Brazil), Italian, German, French (Canada), Danish",20,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/
Workplace Safety - Team 7.1 (Americas),"The Workplace Safety � Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team-based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Biodata & Situational Judgement, Competencies, Personality & Behavior",yes,no,"Entry-Level, General Population, Professional Individual Contributor","English (USA), Latin American Spanish, French (Canada)",20,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/
Workplace Safety - Team 7.0 Solution,"The Workplace Safety � Team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team-based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining. Report Language Availability: English (USA), Latin American Spanish.",Biodata & Situational Judgement,yes,no,Director,"English International, English (USA), French (Canada), Latin American Spanish",20,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/
Workplace Safety - Individual 7.1 (Americas),"Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.",Biodata & Situational Judgement,yes,no,Entry-Level,"Portuguese (Brazil), English (USA), French (Canada), Latin American Spanish",16,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/
Workplace Safety - Individual 7.0 Solution,"Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining. Report Language Availability: English (USA), Latin American Spanish.",Biodata & Situational Judgement,yes,no,Entry-Level,"German, English International, English (USA), Italian, French, Dutch, French (Canada), Latin American Spanish, Arabic",16,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/
Transcriptionist Solution,"The Transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information. Sample tasks for these jobs include, but are not limited to: transcribing dictated reports, deciphering medical jargon, and proofing medical reports. Potential job titles that use this solution are: Medical Transcriptionist, Medical Transcriber, and Documentation Specialist. Multiple configurations of this solution are available.","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",yes,yes,Entry-Level,English (USA),33,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/
Teller with Sales - Short Form,"The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to: balancing currency, coin and checks, cashing checks and paying out money, entering customer transactions into computers, and suggestive selling after a customer service interaction.","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",yes,no,Entry-Level,English (USA),35,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/
Teller 7.0,"Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the bank to its customers. The Teller Solution contains scales that measure a person�s ability to handle money, prevent transactional errors, promote quality customer service, and generate sales or referrals appropriately.","Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",yes,yes,Entry-Level,English (USA),35,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/